2016-08-01:06:57, 201608010657114052, buy_market, 99, 20, 部分成交
2016-08-01:06:57, 201608010657737104, sell_market, 99, 20, 全部成交
2016-08-01:06:57, 201608010657114052, buy_market, 99, 34, 全部成交
2016-08-01:06:57, 201608010657305226, sell, 99, 34, 部分成交
2016-08-01:06:57, 201608010657488534, buy, 95.00, 21, 全部成交
2016-08-01:06:57, 201608010657305226, sell, 95.00, 21, 部分成交
2016-08-01:06:57, 201608010657795848, buy_market, 99, 24, 全部成交
2016-08-01:06:57, 201608010657305226, sell, 99, 24, 部分成交
2016-08-01:06:57, 201608010657504671, buy_market, 99, 11, 部分成交
2016-08-01:06:57, 201608010657305226, sell, 99, 11, 全部成交
2016-08-01:06:57, 201608010657504671, buy_market, 99, 9, 全部成交
2016-08-01:06:57, 201608010657636557, sell_market, 99, 9, 部分成交
2016-08-01:06:57, 201608010657535240, buy, 99.00, 62, 部分成交
2016-08-01:06:57, 201608010657636557, sell_market, 99.00, 62, 全部成交
2016-08-01:06:57, 201608010657699008, buy_market, 99, 39, 全部成交
2016-08-01:06:57, 201608010657199210, sell, 99, 39, 部分成交
2016-08-01:06:57, 201608010657156798, buy_market, 99, 47, 部分成交
2016-08-01:06:57, 201608010657199210, sell, 99, 47, 全部成交
2016-08-01:06:57, 201608010657156798, buy_market, 99, 13, 部分成交
2016-08-01:06:57, 201608010657381228, sell, 99, 13, 全部成交
2016-08-01:06:57, 201608010657156798, buy_market, 107.00, 7, 全部成交
2016-08-01:06:57, 201608010657616458, sell, 107.00, 7, 部分成交
2016-08-01:06:57, 201608010657288443, buy_market, 107.00, 43, 部分成交
2016-08-01:06:57, 201608010657616458, sell, 107.00, 43, 全部成交
2016-08-01:06:57, 201608010657288443, buy_market, 99, 46, 全部成交
2016-08-01:06:57, 201608010657217414, sell_market, 99, 46, 部分成交
2016-08-01:06:57, 201608010657132091, buy_market, 99, 11, 部分成交
2016-08-01:06:57, 201608010657217414, sell_market, 99, 11, 全部成交
2016-08-01:06:57, 201608010657132091, buy_market, 108.00, 6, 全部成交
2016-08-01:06:57, 201608010657768348, sell, 108.00, 6, 部分成交
2016-08-01:06:57, 201608010657168315, buy_market, 108.00, 32, 全部成交
2016-08-01:06:57, 201608010657768348, sell, 108.00, 32, 部分成交
2016-08-01:06:57, 201608010657982351, buy, 99, 42, 全部成交
2016-08-01:06:57, 201608010657727384, sell_market, 99, 42, 部分成交
2016-08-01:06:57, 201608010657069688, buy, 99, 33, 全部成交
2016-08-01:06:57, 201608010657727384, sell_market, 99, 33, 部分成交
2016-08-01:06:57, 201608010657535240, buy, 99.00, 20, 全部成交
2016-08-01:06:57, 201608010657727384, sell_market, 99.00, 20, 部分成交
2016-08-01:06:57, 201608010657756309, buy, 97.00, 2, 部分成交
2016-08-01:06:57, 201608010657727384, sell_market, 97.00, 2, 全部成交
2016-08-01:06:57, 201608010657756309, buy, 97.00, 46, 全部成交
2016-08-01:06:57, 201608010657394181, sell_market, 97.00, 46, 部分成交
2016-08-01:06:57, 201608010657613568, buy, 95.00, 53, 部分成交
2016-08-01:06:57, 201608010657394181, sell_market, 95.00, 53, 全部成交
2016-08-01:06:57, 201608010657940267, buy, 108.00, 52, 全部成交
2016-08-01:06:57, 201608010657768348, sell, 108.00, 52, 部分成交
2016-08-01:06:57, 201608010657544406, buy_market, 108.00, 7, 部分成交
2016-08-01:06:57, 201608010657768348, sell, 108.00, 7, 全部成交
2016-08-01:06:57, 201608010657544406, buy_market, 99, 76, 部分成交
2016-08-01:06:57, 201608010657240233, sell, 99, 76, 全部成交
2016-08-01:06:57, 201608010657544406, buy_market, 107.00, 6, 全部成交
2016-08-01:06:57, 201608010657258750, sell, 107.00, 6, 部分成交
2016-08-01:06:57, 201608010657720015, buy, 99.00, 47, 全部成交
